sigma,rank,ave. train error,ave. test error,ave. num for both train and test
6.7233575364993365,40,0.15392148450499948,1.2450632524357579,5.25
6.7233575364993365,50,0.11225769506428052,1.7736890728203834,7.25
6.7233575364993365,60,0.13807762421641404,2.3100297919801545,11.0
6.7233575364993365,70,0.10780845167806115,2.178495745138613,17.0
6.7233575364993365,80,0.12800839099216843,1.9995730949408397,18.5
6.7233575364993365,90,0.0997112342619625,3.1511226985966196,15.5
6.7233575364993365,100,0.12407147768188545,3.0927986725195145,17.0
6.7233575364993365,110,0.083436302638561,3.0199571908111675,19.5
6.7233575364993365,120,0.06896157976903644,3.902890168503493,18.5
6.7233575364993365,130,0.06973677724451949,3.0250675459497494,22.75
6.7233575364993365,140,0.034918407621886735,3.522662340560359,19.5
7.27895384398315,40,0.16062462360308818,1.4347640173892138,7.75
7.27895384398315,50,0.11089068332042858,1.6863233328667486,10.75
7.27895384398315,60,0.1312578252661286,1.689008294222884,13.25
7.27895384398315,70,0.09654423541563616,2.6232272727955777,11.0
7.27895384398315,80,0.11274846525548163,2.875984609682257,15.25
7.27895384398315,90,0.09784724611015594,3.105086584260061,14.25
7.27895384398315,100,0.14369950643546006,2.3743802414843356,20.75
7.27895384398315,110,0.10763841556367376,3.426473537385136,16.75
7.27895384398315,120,0.059908881889734575,3.9779341415332006,18.0
7.27895384398315,130,0.0401014935149223,3.6227154150854317,19.75
7.27895384398315,140,0.03319558237810115,4.289164137504794,19.5
7.880462815669913,40,0.14003997131765233,1.5868094774164414,6.75
7.880462815669913,50,0.10823694501113132,1.8699986505907578,9.25
7.880462815669913,60,0.12971458176788947,2.3439422575494158,13.0
7.880462815669913,70,0.10780768208744951,2.30640502240323,13.5
7.880462815669913,80,0.1072300205661379,2.3560435373685777,16.5
7.880462815669913,90,0.09865037629335932,2.454777035605347,17.25
7.880462815669913,100,0.09905700302483393,3.32153569918645,16.5
7.880462815669913,110,0.09508393328096304,3.431008357348036,17.75
7.880462815669913,120,0.08703135366370368,2.777536834003994,21.25
7.880462815669913,130,0.050343301475624595,3.952566606651711,17.0
7.880462815669913,140,0.039680672577998004,3.8923303623198686,22.0
8.531678524172808,40,0.15367345005559047,1.6472735191759178,5.25
8.531678524172808,50,0.11015204957427416,1.6238082370997589,12.75
8.531678524172808,60,0.11341441495280921,2.727526815176157,11.25
8.531678524172808,70,0.10998686290286278,2.3261535031475455,12.25
8.531678524172808,80,0.13028545186771165,2.1238406138255246,19.75
8.531678524172808,90,0.11793907095508784,2.455733591852651,18.0
8.531678524172808,100,0.0946147658217776,2.9617046407987293,17.75
8.531678524172808,110,0.12206847073966895,3.2936036177481016,18.25
8.531678524172808,120,0.056923108770043,3.7493891056018454,13.5
8.531678524172808,130,0.06934055809337038,4.009889674345002,19.25
8.531678524172808,140,0.03379404121421823,4.030091103884542,20.0
9.23670857187386,40,0.14646802825373323,1.5009918890240428,6.75
9.23670857187386,50,0.09952008202612558,1.8403056464582208,7.75
9.23670857187386,60,0.14850802340405495,2.2427234752549112,12.75
